X	Locus.Identifier	length	logFC	logCPM	PValue	FDR
AT3G59010	AT3G59010.1	1914	0.040985126	5.479446603	0.780323066	0.868092523
AT4G00060	AT4G00060.1	5007	0.04370565	4.514551246	0.78044288	0.86817213
AT4G34580	AT4G34580.1	2755	-0.085906634	1.399752035	0.780776028	0.868489027
AT4G13950	AT4G13950.1	603	-0.077565107	2.432308849	0.780966964	0.868647707
AT4G30860	AT4G30860.1	1746	0.076147389	1.936134967	0.781394325	0.869069318
AT5G52400	AT5G52400.1	1556	-0.162298036	0.158310328	0.781657241	0.869307994
AT5G11240	AT5G11240.1	2240	-0.029627534	4.97625623	0.781780477	0.86934783
AT3G58610	AT3G58610.1	2096	0.031647335	8.974192244	0.781789703	0.86934783
AT5G66730	AT5G66730.1	2280	0.034986216	4.941508913	0.781846205	0.869356927
AT3G15470	AT3G15470.1	3363	-0.032417053	4.535630959	0.781901258	0.86936441
AT5G47640	AT5G47640.1	1045	0.040493626	4.099008432	0.781976547	0.869394392
AT2G19390	AT2G19390.1	4398	0.041094874	3.943027186	0.78233748	0.869693063
AT3G22690	AT3G22690.1	2931	-0.120143691	1.133082076	0.782368948	0.869693063
AT3G45430	AT3G45430.1	2024	-0.082358336	2.225585076	0.782390208	0.869693063
AT4G30097	AT4G30097.1	143	-0.105588265	0.842696773	0.782521539	0.869785308
AT4G04370	AT4G04370.1	2189	0.067962108	2.574668233	0.782723871	0.869861935
AT3G15180	AT3G15180.2	1901	0.048979006	3.957975888	0.782731319	0.869861935
AT2G44700	AT2G44700.1	1106	0.179380472	-0.01979208	0.782735527	0.869861935
AT1G77750	AT1G77750.1	688	-0.043839022	3.999311872	0.782944838	0.87000596
AT1G08340	AT1G08340.1	1434	0.169643983	-0.195055309	0.782961842	0.87000596
AT3G21600	AT3G21600.1	1391	0.135666046	0.489548679	0.783129443	0.87008739
AT4G15975	AT4G15975.1	977	-0.196875653	0.034881586	0.78313185	0.87008739
AT1G05750	AT1G05750.1	3225	-0.060374242	2.20460913	0.783240142	0.870153971
AT3G44380	AT3G44380.1	697	0.047746737	3.149522301	0.783445948	0.870286777
AT2G43370	AT2G43370.1	1133	-0.061659978	2.052907669	0.783539515	0.870286777
AT3G09630	AT3G09630.1	1558	-0.031350701	8.279933479	0.783540799	0.870286777
AT5G18140	AT5G18140.1	1248	-0.039962726	3.982408273	0.78359349	0.870286777
AT3G19515	AT3G19515.2	2699	0.038824672	4.037661877	0.783645046	0.870286777
AT5G50760	AT5G50760.1	808	0.242391015	0.153153138	0.783649925	0.870286777
AT2G48120	AT2G48120.1	1270	-0.033410865	4.53890927	0.783774017	0.870370862
AT3G61480	AT3G61480.1	3328	-0.02755853	4.434059188	0.78412889	0.870671205
AT2G22560	AT2G22560.1	2851	0.09649772	2.115960057	0.784171813	0.870671205
AT2G45990	AT2G45990.1	1070	-0.034624646	5.065174195	0.784189662	0.870671205
AT5G60200	AT5G60200.1	1447	-0.041170561	2.805208937	0.784771688	0.87126365
AT1G35210	AT1G35210.1	750	0.117543686	0.237707937	0.784843034	0.871289092
AT1G11900	AT1G11900.1	1198	0.100092109	1.090959981	0.784930162	0.871332051
AT4G39220	AT4G39220.1	953	-0.036729167	4.100332864	0.785017566	0.871350912
AT5G39340	AT5G39340.1	811	-0.038863543	3.365384579	0.785044018	0.871350912
AT2G43770	AT2G43770.1	1386	0.034079623	4.935578391	0.785207054	0.871478107
AT3G51510	AT3G51510.1	808	0.042110372	7.013395987	0.785317625	0.87154706
AT2G22880	AT2G22880.1	344	0.135716513	1.742267347	0.785519636	0.871694388
AT4G18390	AT4G18390.1	1843	-0.032880988	5.898497126	0.78554728	0.871694388
AT3G46620	AT3G46620.1	1370	0.05607533	3.568017448	0.785657639	0.871763081
AT4G22970	AT4G22970.1	6782	-0.08236108	2.824901202	0.785918544	0.871998799
AT1G32810	AT1G32810.2	3200	-0.032785363	4.251902645	0.786152215	0.872180215
AT3G11090	AT3G11090.1	602	0.041894508	3.964696148	0.786179009	0.872180215
AT4G18880	AT4G18880.1	1902	-0.048162039	2.894503151	0.78637101	0.872318763
AT5G65740	AT5G65740.2	1151	-0.067453686	2.225978304	0.786400868	0.872318763
AT2G39380	AT2G39380.1	2077	0.098477747	0.540794797	0.786494571	0.872366603
AT3G10060	AT3G10060.1	1030	-0.037354416	7.060015883	0.786540974	0.872366603
AT5G22490	AT5G22490.1	1442	-0.195817357	-0.319416144	0.786646076	0.872394764
AT4G35020	AT4G35020.1	1062	0.03597167	3.322023552	0.786663346	0.872394764
AT5G53620	AT5G53620.1	2375	0.0310773	5.352906837	0.78676823	0.87240426
AT3G48425	AT3G48425.1	1429	0.056729781	2.293497397	0.786768891	0.87240426
AT1G32415	AT1G32415.1	2285	-0.121348933	0.62056742	0.786921283	0.872519463
AT1G08000	AT1G08000.1	1370	-0.048498848	2.930275745	0.787006772	0.872520121
AT4G13150	AT4G13150.1	1189	-0.030899005	4.50510288	0.787018872	0.872520121
AT1G07740	AT1G07740.1	2656	0.088023717	1.603799711	0.787163289	0.872626455
AT1G27752	AT1G27752.1	2928	0.029806875	4.543140336	0.787371433	0.872803417
AT1G49350	AT1G49350.1	1464	-0.061239589	2.040756205	0.787666457	0.873024698
AT5G16860	AT5G16860.1	2552	0.105118498	0.520875114	0.787668106	0.873024698
AT2G34980	AT2G34980.1	911	0.131356468	-0.033642514	0.787770636	0.873084551
AT5G62190	AT5G62190.1	2371	0.026466488	7.267595369	0.787964211	0.873200191
AT3G60260	AT3G60260.1	1319	-0.046013073	3.3617488	0.78798635	0.873200191
AT4G24710	AT4G24710.1	1619	-0.099024059	1.056675151	0.788060485	0.873200191
AT3G57062	AT3G57062.1	532	-0.035583738	4.458833849	0.788069118	0.873200191
AT5G39980	AT5G39980.1	2360	-0.041826633	2.952850225	0.788308837	0.873412014
AT5G42370	AT5G42370.2	1974	0.081560705	1.491335353	0.788642819	0.87363396
AT1G54680	AT1G54680.1	833	-0.078958822	1.410941794	0.788652455	0.87363396
AT4G32200	AT4G32200.1	4317	-0.05361103	3.297802104	0.788654835	0.87363396
AT5G63670	AT5G63670.1	558	0.035341295	4.529378448	0.789169689	0.874150466
AT5G27750	AT5G27750.1	1648	-0.09369028	1.278559424	0.789536965	0.87450345
AT5G20580	AT5G20580.1	1407	0.039421003	3.140322284	0.789689944	0.874575553
AT5G39570	AT5G39570.1	1557	-0.027516817	8.037031193	0.789699287	0.874575553
AT4G19960	AT4G19960.1	2795	-0.056519136	4.36018045	0.789794468	0.874627125
AT1G18180	AT1G18180.1	1144	0.096534205	0.901475969	0.789965318	0.874758112
AT4G20070	AT4G20070.1	1826	0.044574307	3.231331707	0.790009994	0.874758112
AT5G08550	AT5G08550.1	3060	-0.03489809	3.879562008	0.790061932	0.874761784
AT2G13290	AT2G13290.1	1490	-0.04911035	3.598362311	0.790285861	0.874915749
AT3G46010	AT3G46010.2	902	-0.027821131	6.691265796	0.790298251	0.874915749
AT2G20420	AT2G20420.1	1638	-0.024400344	6.910113814	0.790398648	0.874961224
AT3G12690	AT3G12690.1	2189	0.053147557	2.610665767	0.790436594	0.874961224
AT4G16444	AT4G16444.1	988	-0.056909861	2.86612858	0.790669135	0.875164785
AT1G52618	AT1G52618.1	515	0.147867704	0.380398341	0.790901019	0.875367594
AT5G46850	AT5G46850.2	1107	-0.073184239	2.134388353	0.791141021	0.875578647
AT1G02370	AT1G02370.1	1756	0.043526382	3.05439864	0.791189042	0.875578647
AT4G28700	AT4G28700.1	1514	0.107299285	-0.125825803	0.791320297	0.875670037
AT2G46910	AT2G46910.1	1046	-0.026971837	5.372789333	0.791508139	0.875824031
AT1G55805	AT1G55805.1	716	-0.04595053	4.50041639	0.791616448	0.875890007
AT3G58100	AT3G58100.1	896	0.071010169	2.167536652	0.791776316	0.876013019
AT1G09160	AT1G09160.2	1859	-0.031550055	4.987328591	0.791869274	0.876061992
AT5G41040	AT5G41040.1	1663	-0.106826138	0.390804273	0.792114356	0.876279246
AT5G01650	AT5G01650.2	663	0.037474379	5.488246541	0.792213237	0.876300161
AT1G55740	AT1G55740.1	2465	0.102478541	0.966352752	0.792230677	0.876300161
AT4G16960	AT4G16960.1	3119	-0.086878034	1.741610802	0.7923595	0.876349615
AT1G04020	AT1G04020.1	2384	0.069527701	2.927252513	0.792372808	0.876349615
AT2G37270	AT2G37270.1	925	0.030795059	7.443354633	0.792568606	0.876512282
AT3G03940	AT3G03940.1	2845	0.024877348	5.911646297	0.792684495	0.87658656
AT1G80230	AT1G80230.1	940	0.03177812	5.084133545	0.792743309	0.876597718
AT1G25570	AT1G25570.1	2301	0.028688794	4.716032432	0.79296503	0.876789002
AT3G10760	AT3G10760.1	1568	0.039884564	3.849514541	0.793120222	0.876906706
AT1G19800	AT1G19800.2	1458	0.030161159	5.313078135	0.793227823	0.87697178
AT1G21600	AT1G21600.1	1374	-0.026522778	6.440910542	0.793290668	0.876987367
AT3G01920	AT3G01920.1	1053	-0.045550806	4.244336226	0.793380944	0.877033276
AT4G37660	AT4G37660.1	774	-0.051605038	3.236195975	0.793522689	0.877079674
AT4G32350	AT4G32350.1	2629	-0.054344573	3.188942931	0.793586259	0.877079674
AT4G01050	AT4G01050.1	1834	-0.027562012	9.201502312	0.793587802	0.877079674
AT1G18480	AT1G18480.1	1378	0.042464797	3.883410484	0.793665587	0.877079674
AT4G27910	AT4G27910.1	3279	0.047700118	2.962930421	0.793666672	0.877079674
AT5G05370	AT5G05370.1	431	-0.050089001	4.367684302	0.793818119	0.877193156
AT4G25000	AT4G25000.1	1427	0.154737268	2.615760946	0.793869888	0.877196484
AT1G18800	AT1G18800.1	1247	-0.035209561	5.093018054	0.794324994	0.877620356
AT1G28510	AT1G28510.1	1028	-0.032768022	4.109364984	0.794351058	0.877620356
AT5G40280	AT5G40280.1	1613	0.042485122	2.878998915	0.794617639	0.877860973
AT1G78810	AT1G78810.1	1754	-0.043879464	2.512665083	0.794810253	0.877922445
AT5G64030	AT5G64030.1	3106	-0.027786829	5.829166422	0.794862679	0.877922445
AT5G25350	AT5G25350.1	2598	0.035908216	4.932771495	0.794872744	0.877922445
AT4G13870	AT4G13870.2	1145	-0.063523803	1.790009256	0.794895414	0.877922445
AT1G67080	AT1G67080.1	1016	0.029142702	4.745547875	0.794917272	0.877922445
AT4G02900	AT4G02900.1	2346	0.056164769	2.546554771	0.795015493	0.877932924
AT1G79410	AT1G79410.1	1753	0.075180387	3.645272042	0.795024357	0.877932924
AT5G17890	AT5G17890.1	5069	0.043873196	4.648589816	0.795332971	0.878219818
AT4G31160	AT4G31160.1	5858	0.03562799	5.258957537	0.795423483	0.878265858
AT5G17860	AT5G17860.1	1986	0.107275378	3.204585196	0.795836007	0.878625058
AT4G32820	AT4G32820.2	5891	-0.056969217	3.939423512	0.795846476	0.878625058
AT5G62900	AT5G62900.1	775	0.070560883	2.31040127	0.795999744	0.878688665
AT1G66810	AT1G66810.1	1003	-0.168955299	-0.264923481	0.796023787	0.878688665
AT3G51330	AT3G51330.1	1764	-0.128620754	0.848616256	0.796050611	0.878688665
AT4G02390	AT4G02390.1	2148	0.063621663	2.20564949	0.796185041	0.878783133
AT2G19090	AT2G19090.1	2441	0.094297561	1.354627989	0.796423936	0.878992886
AT5G40660	AT5G40660.1	1281	0.030724001	3.883383506	0.796788546	0.879316926
AT2G45750	AT2G45750.1	2131	-0.161957065	-0.008289887	0.796815288	0.879316926
AT5G54490	AT5G54490.1	527	0.11124512	0.586356829	0.796907367	0.8793646
AT4G38290	AT4G38290.1	462	0.135834735	-0.14505155	0.796963113	0.879372179
AT1G69310	AT1G69310.1	1355	-0.065237682	2.054495959	0.797200531	0.879514323
AT3G48820	AT3G48820.1	1747	-0.046851474	3.542482256	0.797201428	0.879514323
AT1G18160	AT1G18160.1	3503	0.031108439	4.951168533	0.797238596	0.879514323
AT1G12775	AT1G12775.1	2023	-0.072940454	1.737116363	0.797293601	0.879521073
AT2G21290	AT2G21290.1	474	-0.045524107	4.42497609	0.797360466	0.879540285
AT2G15630	AT2G15630.1	1883	0.124741534	0.230571207	0.797408793	0.879540285
AT5G58730	AT5G58730.1	1424	-0.063442681	2.326972905	0.79748346	0.879568718
AT1G01800	AT1G01800.1	1089	-0.025383903	5.513974628	0.797539757	0.879576887
AT1G63310	AT1G63310.1	778	-0.052134201	2.134724066	0.797600685	0.879590163
AT4G14103	AT4G14103.2	1605	0.188972096	-0.192507659	0.797693467	0.879638563
AT4G18780	AT4G18780.1	3239	-0.042357822	2.010529561	0.797817694	0.879721631
AT1G47580	AT1G47580.1	813	0.032199596	4.050777203	0.797906018	0.879765102
AT1G54217	AT1G54217.2	806	0.122849987	0.533722917	0.798704806	0.880591872
AT5G24430	AT5G24430.1	2209	-0.041362374	4.044748101	0.79899228	0.88073933
AT5G19150	AT5G19150.1	1361	-0.036518144	3.57368945	0.799010992	0.88073933
AT1G16700	AT1G16700.1	1052	0.030076759	5.501763547	0.799035588	0.88073933
AT3G52420	AT3G52420.1	328	-0.081916974	2.241938885	0.799062592	0.88073933
AT1G02910	AT1G02910.1	1548	-0.026088934	5.703712434	0.799083324	0.88073933
AT3G61590	AT3G61590.1	1834	0.039272778	2.919158193	0.799315697	0.88094148
AT3G01660	AT3G01660.1	950	0.035348811	3.281926936	0.799686839	0.881296534
AT1G59960	AT1G59960.1	1175	0.041576037	3.183267184	0.799815807	0.881384674
AT4G31050	AT4G31050.1	1118	0.053742277	2.591775144	0.799970535	0.881419044
AT5G10190	AT5G10190.1	1759	-0.03680337	3.341695663	0.79997061	0.881419044
AT3G58670	AT3G58670.1	1265	0.037479188	3.454902909	0.799993973	0.881419044
AT5G23290	AT5G23290.1	730	-0.040637733	3.837072906	0.800110884	0.881493872
AT2G45480	AT2G45480.1	1560	-0.147762646	0.458980166	0.800530675	0.881902356
AT4G26140	AT4G26140.1	2415	0.055524042	3.210016854	0.80066175	0.881992747
AT1G10120	AT1G10120.1	2122	0.046457666	3.25131439	0.80096892	0.882229367
AT1G75630	AT1G75630.2	1040	-0.041963379	5.853270045	0.800990114	0.882229367
AT2G13820	AT2G13820.1	666	-0.044845626	2.74277428	0.801023663	0.882229367
AT5G14240	AT5G14240.1	1154	0.034465259	4.394768739	0.801166688	0.882332877
AT1G10770	AT1G10770.1	778	0.457912325	-0.713340662	0.801339984	0.882469709
AT1G55480	AT1G55480.1	1335	-0.033890832	8.092134526	0.801554973	0.882652437
AT2G45520	AT2G45520.1	811	0.027489393	4.187654978	0.80176745	0.882778962
AT3G10200	AT3G10200.1	1951	-0.084282075	0.34455921	0.801768008	0.882778962
AT3G03610	AT3G03610.1	1241	-0.053190728	2.444831041	0.801874432	0.88284211
AT4G37630	AT4G37630.1	1599	-0.041671516	2.41947512	0.802082975	0.883017672
AT3G17680	AT3G17680.2	1315	-0.063531409	2.632871894	0.802265431	0.883164497
AT3G21070	AT3G21070.1	1931	-0.03253086	4.403696552	0.802488438	0.88335594
AT3G24320	AT3G24320.1	3708	0.044158724	3.573175104	0.802570129	0.883391813
AT5G65420	AT5G65420.3	1315	-0.093531523	1.142230667	0.802676335	0.883454664
AT2G43720	AT2G43720.1	506	0.09372813	0.737328819	0.802848712	0.883590333
AT3G06890	AT3G06890.1	730	-0.157076123	0.403096434	0.802947001	0.883596346
AT4G32400	AT4G32400.1	1464	0.029930858	4.582138932	0.802952402	0.883596346
AT5G20570	AT5G20570.2	758	-0.027997585	4.975525952	0.803002991	0.88359797
AT1G33060	AT1G33060.2	2156	0.046295869	2.795263393	0.803065212	0.883612393
AT3G28340	AT3G28340.1	1605	0.078898033	2.338426988	0.803245627	0.883756854
AT1G73260	AT1G73260.1	916	0.155718719	4.348283139	0.803363942	0.883832978
AT5G09850	AT5G09850.1	1958	-0.033234546	4.864716315	0.803606537	0.884045812
AT5G65240	AT5G65240.2	2065	0.06763826	2.445752031	0.803714002	0.884098518
AT5G42780	AT5G42780.1	981	0.093163474	0.549898935	0.803801851	0.884098518
AT2G36330	AT2G36330.1	1102	0.030927757	2.90853029	0.803812564	0.884098518
AT1G44575	AT1G44575.1	1055	0.032769255	10.93692338	0.803851012	0.884098518
AT1G78230	AT1G78230.1	2291	0.043262236	5.369160068	0.804433018	0.884633196
AT4G25980	AT4G25980.1	1112	0.133142342	-0.09963608	0.804461009	0.884633196
AT2G37040	AT2G37040.1	2528	0.061864921	7.549474489	0.804504581	0.884633196
AT1G10980	AT1G10980.1	1910	-0.182858867	-0.128997264	0.804533842	0.884633196
AT1G06140	AT1G06140.1	1676	-0.140655072	-0.165501248	0.80521333	0.885326224
AT2G07715	AT2G07715.1	2167	0.155381381	0.311686178	0.805382494	0.885404057
AT5G38210	AT5G38210.1	2341	-0.12791766	0.14816434	0.805382546	0.885404057
AT3G58050	AT3G58050.1	3760	0.034304707	4.49896048	0.805628669	0.885620517
AT1G02170	AT1G02170.1	1331	-0.034922597	4.261522856	0.805748202	0.885697801
AT3G51480	AT3G51480.1	3331	-0.06289817	1.838365788	0.80603545	0.88595942
AT3G05010	AT3G05010.1	1264	-0.033160242	3.40937752	0.806136757	0.885963192
AT3G56370	AT3G56370.1	3413	-0.028896164	6.336563042	0.806137372	0.885963192
AT1G14310	AT1G14310.1	882	0.035422456	3.909154001	0.806455212	0.886258366
AT5G01220	AT5G01220.1	1944	0.032967547	6.087179666	0.806862778	0.886652104
AT1G76980	AT1G76980.1	973	0.070719442	1.874779193	0.807665492	0.887479989
AT5G14780	AT5G14780.1	1554	-0.062389297	6.490102526	0.807949846	0.88771934
AT1G03680	AT1G03680.1	908	-0.033537602	8.309330414	0.808049089	0.88771934
AT2G25970	AT2G25970.1	2151	0.02709316	6.425163278	0.808074333	0.88771934
AT1G72250	AT1G72250.2	3847	0.083533976	2.471313439	0.808080686	0.88771934
AT3G20720	AT3G20720.2	3896	0.028806225	4.90842898	0.80816525	0.88775803
AT3G58940	AT3G58940.1	2322	0.051476311	2.399659777	0.808366315	0.887924682
AT3G21530	AT3G21530.1	1596	-0.092692761	0.90009925	0.808635851	0.88816652
AT4G02290	AT4G02290.1	1932	-0.074468964	2.433684547	0.808807791	0.888275845
AT3G59640	AT3G59640.1	978	0.050189162	2.650423596	0.808834133	0.888275845
AT5G38830	AT5G38830.1	1815	0.022241992	5.208056907	0.808989541	0.888392287
AT2G17030	AT2G17030.1	1509	0.045678048	2.386011105	0.809145429	0.888509242
AT1G53560	AT1G53560.1	647	-0.040630743	4.540190854	0.809471237	0.888812757
AT2G06040	AT2G06040.1	2602	0.057367115	2.953108486	0.809603082	0.888903274
AT1G14690	AT1G14690.1	2447	-0.044884216	4.375201642	0.809689805	0.888944241
AT4G03340	AT4G03340.1	2096	-0.087438073	0.553135182	0.809993762	0.889223687
AT4G24990	AT4G24990.1	905	0.03244024	4.664907671	0.810177075	0.889341002
AT3G11720	AT3G11720.3	1859	0.051996933	3.232970432	0.81019949	0.889341002
AT1G36370	AT1G36370.1	2054	-0.051519899	5.074893915	0.810330411	0.889430445
AT1G29400	AT1G29400.1	2868	0.030680871	5.82049532	0.810544016	0.889522294
AT3G59490	AT3G59490.2	1028	0.030675477	3.103800293	0.810589097	0.889522294
AT1G52320	AT1G52320.2	2583	-0.031320663	4.208540819	0.810606724	0.889522294
AT1G53070	AT1G53070.1	1040	0.077345094	1.75217802	0.810611862	0.889522294
AT4G06598	AT4G06598.1	1652	0.04983877	2.769395137	0.8106913	0.889555207
AT1G05210	AT1G05210.1	768	0.071011733	2.509008344	0.81100628	0.889846557
AT5G02960	AT5G02960.1	745	-0.033150061	8.512016693	0.811127766	0.889917163
AT1G17710	AT1G17710.1	1091	0.174905057	0.405767036	0.811169561	0.889917163
AT2G26650	AT2G26650.1	2841	-0.094390964	1.218154427	0.811295926	0.889998249
AT5G03910	AT5G03910.1	2197	-0.024362068	5.46362016	0.811373917	0.889998249
AT4G20760	AT4G20760.1	1148	0.028653693	5.343585883	0.811391879	0.889998249
AT3G16640	AT3G16640.1	952	-0.033318786	9.701332828	0.811756124	0.890319328
AT3G24350	AT3G24350.2	1505	-0.027734681	4.347670046	0.811896372	0.890319328
AT5G42650	AT5G42650.1	1800	-0.043895187	10.21890603	0.811909037	0.890319328
AT2G38025	AT2G38025.1	1019	0.028823336	4.933090913	0.811916998	0.890319328
AT3G06370	AT3G06370.1	2192	-0.069441862	1.570563429	0.811932034	0.890319328
AT4G37150	AT4G37150.1	927	0.080664388	3.34012485	0.812150853	0.890504998
AT2G25355	AT2G25355.1	961	-0.046752338	2.859502292	0.812493055	0.890825922
AT3G57770	AT3G57770.1	1240	-0.10892011	0.465807079	0.812578888	0.890852393
AT1G29850	AT1G29850.3	816	0.024134988	4.999084755	0.812616232	0.890852393
AT2G39140	AT2G39140.1	1486	0.027720147	5.448917806	0.812854081	0.891058845
AT2G16720	AT2G16720.1	978	-0.11208966	1.082973236	0.813326974	0.891522914
AT1G67880	AT1G67880.1	1613	0.042367924	3.218297115	0.813573763	0.891675691
AT5G22650	AT5G22650.1	1234	0.023405677	7.65331882	0.813583299	0.891675691
AT5G58510	AT5G58510.1	3135	-0.035626963	3.936407458	0.813617898	0.891675691
AT3G49290	AT3G49290.1	1495	-0.048231734	3.193124242	0.8136646	0.891675691
AT3G07550	AT3G07550.1	1706	-0.057257171	2.641733082	0.813825994	0.891760735
AT2G22740	AT2G22740.2	2585	0.035982595	3.536174329	0.813841338	0.891760735
AT1G21160	AT1G21160.1	3711	-0.043075601	4.018497926	0.814067097	0.891928869
AT1G73460	AT1G73460.1	3696	0.0325576	4.576483768	0.814093933	0.891928869
AT3G59380	AT3G59380.1	1169	0.028214176	4.008955549	0.814459391	0.892246922
AT1G20540	AT1G20540.1	1255	0.035425236	4.073545161	0.81448342	0.892246922
AT3G09500	AT3G09500.1	676	-0.033134099	7.817342876	0.8145713	0.892288862
AT4G38480	AT4G38480.1	1590	0.07535281	1.174679856	0.814770741	0.892452993
AT3G54270	AT3G54270.1	1718	0.119361296	0.290946092	0.814974009	0.892621295
AT1G28200	AT1G28200.1	1090	0.040291507	4.396235159	0.815143665	0.892752766
AT3G26370	AT3G26370.1	1999	0.029071014	4.599852618	0.815496489	0.893084815
AT5G51180	AT5G51180.1	1677	0.033813204	4.323813052	0.815996902	0.893578444
AT2G48121	AT2G48121.2	477	-0.072114944	1.4231141	0.816068913	0.893598548
AT4G31770	AT4G31770.1	1652	-0.044803212	3.312783696	0.816205707	0.893598548
AT4G16835	AT4G16835.1	1969	-0.107232213	0.70650509	0.816285459	0.893598548
AT4G14365	AT4G14365.1	1397	-0.082353846	3.499190777	0.816302403	0.893598548
AT3G57830	AT3G57830.1	2474	0.046127361	2.990853706	0.816346736	0.893598548
AT3G55040	AT3G55040.1	1091	0.028330003	5.984743581	0.816349892	0.893598548
AT3G02320	AT3G02320.1	2146	-0.040727367	3.785361339	0.816362945	0.893598548
AT3G05000	AT3G05000.1	846	-0.043503878	4.268398135	0.816469783	0.893661122
AT4G14210	AT4G14210.1	2198	-0.023501607	7.01586535	0.816726659	0.893887901
AT1G19170	AT1G19170.1	1761	-0.028821229	3.536482512	0.816850058	0.89396303
AT3G13682	AT3G13682.1	2239	-0.05374091	1.582707696	0.816894681	0.89396303
AT1G15165	AT1G15165.1	1029	0.04231297	2.711138743	0.817103754	0.894137439
AT5G52430	AT5G52430.1	1884	-0.037695012	3.333610963	0.81744035	0.894451364
AT5G07660	AT5G07660.1	3149	-0.102381089	1.589337054	0.81769409	0.894613662
AT2G41960	AT2G41960.1	4044	0.031482878	4.97931657	0.817771502	0.894613662
AT1G74630	AT1G74630.1	1931	-0.153419365	0.005651584	0.817787429	0.894613662
AT1G31180	AT1G31180.1	1352	0.023537427	6.329275662	0.817787576	0.894613662
AT1G09815	AT1G09815.1	656	-0.039392342	3.262506185	0.817854545	0.894632524
AT5G19590	AT5G19590.1	733	0.023774626	5.928600222	0.817992803	0.894725967
AT4G01910	AT4G01910.1	2117	0.161685818	-0.308304553	0.818039433	0.894725967
AT5G26210	AT5G26210.1	1173	0.034947789	5.046429515	0.818277238	0.894931659
AT2G34690	AT2G34690.1	1017	0.031985504	4.617548638	0.818375949	0.894985211
AT5G07020	AT5G07020.1	1006	-0.031272022	8.150070274	0.818731437	0.895319553
AT3G24170	AT3G24170.1	1990	-0.031368744	6.778371833	0.818978167	0.89553493
AT1G21440	AT1G21440.1	1242	0.036108021	5.801740232	0.819071422	0.895582469
AT4G33950	AT4G33950.1	1343	-0.044116583	3.134984735	0.81921393	0.895683854
AT4G36050	AT4G36050.2	2179	-0.070789851	2.066791861	0.819432195	0.895868049
AT5G18370	AT5G18370.1	3629	-0.064893943	1.796621508	0.819590937	0.895979886
AT3G15357	AT3G15357.1	594	0.113825778	1.167739206	0.819634093	0.895979886
AT1G49230	AT1G49230.1	867	0.092144056	0.931974867	0.819804121	0.896111303
AT5G01190	AT5G01190.1	1815	0.162431476	-0.196836872	0.819875423	0.896134795
AT5G53140	AT5G53140.1	1962	-0.024392126	6.897573939	0.819944867	0.896143519
AT1G32470	AT1G32470.1	787	-0.02807582	8.514201336	0.819983025	0.896143519
AT5G51510	AT5G51510.1	746	-0.034142215	3.47575026	0.820190353	0.896315655
AT1G08190	AT1G08190.1	3352	-0.021639248	6.299625739	0.820444993	0.896539473
AT4G02150	AT4G02150.1	1947	0.028856435	4.580499936	0.820525383	0.896572862
AT3G48380	AT3G48380.3	2135	-0.02823509	4.113142572	0.820971463	0.896954781
AT2G26030	AT2G26030.1	1653	-0.061266941	2.539370855	0.820974619	0.896954781
AT5G42660	AT5G42660.1	1705	-0.038497866	3.2270147	0.821105658	0.897043472
AT5G47890	AT5G47890.1	580	0.028695662	5.661551328	0.821346741	0.897252366
AT1G01820	AT1G01820.1	1040	0.026919695	5.353774711	0.821473302	0.897336137
AT1G02850	AT1G02850.4	1792	0.083433751	3.744594304	0.82161314	0.8974344
AT4G24240	AT4G24240.1	1502	0.055220873	2.529156377	0.821769862	0.897551092
AT4G35140	AT4G35140.1	1804	0.038596187	3.302401674	0.821868532	0.897554821
AT2G45245	AT2G45245.1	383	0.090658707	0.634165548	0.821919857	0.897554821
AT2G27400	AT2G27400.1	929	-0.06149011	2.416585364	0.821964082	0.897554821
AT5G21090	AT5G21090.1	1157	0.025212668	7.483328024	0.8219983	0.897554821
AT3G03210	AT3G03210.1	1539	0.046181408	2.550283983	0.822022721	0.897554821
AT2G29065	AT2G29065.1	1987	0.093804484	0.743433967	0.822085689	0.8975691
AT5G58090	AT5G58090.1	1717	-0.040381506	4.540491125	0.822254243	0.897698652
AT4G10130	AT4G10130.1	1009	-0.055006791	1.999416787	0.822325145	0.897721583
AT3G58010	AT3G58010.1	1170	0.025323726	5.026829448	0.822500177	0.897831879
AT3G17350	AT3G17350.1	977	-0.049673052	2.879612473	0.822525987	0.897831879
AT4G15240	AT4G15240.1	1811	-0.029639319	3.212107883	0.822613298	0.897866304
AT2G37870	AT2G37870.1	571	0.120747583	0.347645467	0.822657337	0.897866304
AT1G11592	AT1G11592.1	1066	0.05975344	2.522988191	0.823068105	0.898260132
AT4G22485	AT4G22485.1	1970	0.170597828	1.8576742	0.823471555	0.898645926
AT2G18040	AT2G18040.1	873	0.025377914	5.960404404	0.823620136	0.898707856
AT2G38410	AT2G38410.1	2450	0.031565024	4.029686165	0.823647428	0.898707856
AT2G29570	AT2G29570.1	1129	-0.032595334	4.357792632	0.823678163	0.898707856
AT1G09330	AT1G09330.1	984	0.022848817	4.906591336	0.82384672	0.898837255
AT2G35230	AT2G35230.1	2141	0.046258806	3.272517546	0.824048572	0.899002962
AT1G21780	AT1G21780.1	1473	0.032467727	4.125733476	0.824508694	0.899445
AT2G01630	AT2G01630.1	1929	-0.030015591	3.990222781	0.824553743	0.899445
